Temps\Iter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,Moyenne Temps,,,Variance Temps
NaiveBayes Sans Z,0.204541921615601,0.227573394775391,0.21356725692749,0.212534666061401,0.208526134490967,0.208529949188232,0.221586942672729,0.224570035934448,0.203514099121094,0.214546918869018,0.211593389511108,0.231204509735107,0.281748294830322,0.243616342544556,0.209555625915527,0.209530830383301,0.240609407424927,0.214570045471191,0.206549406051636,0.245626449584961,0.220552444458008,0.212539196014404,0.212532520294189,0.21855640411377,0.232616901397705,0.212565898895264,0.215547323226929,0.228575706481934,0.223567962646484,0.227612733840942,0.209530115127563,0.250630378723145,0.208524942398071,0.214570760726929,0.22356915473938,0.224570751190186,0.233594179153442,0.210559129714966,0.220585346221924,0.21353816986084,0.210525035858154,0.235595226287842,0.213536739349365,0.21353554725647,0.242655754089355,0.213568687438965,0.21353554725647,0.245622158050537,0.214569807052612,0.214569568634033,,NaiveBayes Sans Z,0.221322994232178,,NaiveBayes Sans Z,0.000219404456546
NaiveBayes Avec Z,0.006017923355103,0.006993293762207,0.007993221282959,0.00599217414856,0.005987644195557,0.004991054534912,0.005988359451294,0.00599193572998,0.005991697311401,0.005998849868774,0.005988121032715,0.007000923156738,0.006013631820679,0.005988359451294,0.00601601600647,0.005988597869873,0.006017446517944,0.007018566131592,0.005990505218506,0.00599193572998,0.006991624832153,0.006986379623413,0.00599193572998,0.005992412567139,0.005987644195557,0.006016731262207,0.00601601600647,0.008025646209717,0.005990028381348,0.005990982055664,0.005991458892822,0.005040168762207,0.005991458892822,0.006011247634888,0.005986452102661,0.00597882270813,0.005990743637085,0.005982875823975,0.00598669052124,0.006974220275879,0.006016731262207,0.005992412567139,0.007006645202637,0.00601601600647,0.007019519805908,0.006989479064941,0.006018400192261,0.005014181137085,0.006015300750732,0.007018089294434,,NaiveBayes Avec Z,0.006219811439514,,NaiveBayes Avec Z,3.79118291791702E-07
Neural Sans Z,37.8539309501648,39.0164330005646,39.6343469619751,38.4882698059082,39.5413074493408,40.2689652442932,38.4923112392426,38.761025428772,39.1009290218353,39.542423248291,39.4894373416901,40.8840520381928,39.9071764945984,39.5320415496826,39.3486258983612,39.6079959869385,39.6624226570129,39.6384787559509,39.8108179569244,40.2138950824738,39.9251210689545,39.9585077762604,39.868971824646,39.8429026603699,40.0835423469543,39.8168318271637,39.9411659240723,40.0032231807709,41.6045858860016,39.7727470397949,39.9130580425262,39.2804071903229,39.9291305541992,40.115626335144,40.1736373901367,41.1519031524658,39.8895270824432,39.9251224994659,39.8308691978455,40.2550292015076,39.9657802581787,39.7907629013062,39.9732489585876,39.9552018642426,40.0534241199493,40.1867852210999,39.8583929538727,40.039425611496,40.1159827709198,40.0374193191528,,Neural Sans Z,39.8010644054413,,Neural Sans Z,0.370398547904322
Neural Avec Z,0.078207731246948,0.077205896377564,0.092245101928711,0.079212665557861,0.084223508834839,0.092247724533081,0.082217931747437,0.084249973297119,0.081215858459473,0.080213308334351,0.086229801177979,0.093749523162842,0.088234424591065,0.079210996627808,0.079210758209229,0.08622932434082,0.07720422744751,0.079212665557861,0.081216812133789,0.079241037368775,0.076202392578125,0.083221197128296,0.079210996627808,0.096256494522095,0.081216335296631,0.088234663009644,0.077204704284668,0.078207731246948,0.080213785171509,0.094251155853272,0.086255073547363,0.076205253601074,0.085226535797119,0.08121657371521,0.093248605728149,0.102247476577759,0.09224796295166,0.094252109527588,0.084223031997681,0.079210996627808,0.088235139846802,0.087230682373047,0.090242385864258,0.082218885421753,0.088233947753906,0.07921051979065,0.077204942703247,0.081216096878052,0.08422327041626,0.082218647003174,,Neural Avec Z,0.084195337295532,,Neural Avec Z,3.77150808106085E-05
Svm Sans Z,114.764579772949,118.325224876404,118.049008607864,117.503864049911,116.568471193314,114.815072774887,114.976783275604,115.913105487823,116.224761962891,117.431286811829,121.879247188568,123.827933311462,117.905401945114,114.985660076141,115.077515363693,113.409441709518,115.235325813293,115.470549345016,115.523014545441,115.180149316788,115.781424999237,114.201549053192,116.211813211441,114.288469552994,115.203340291977,116.330739974976,116.842715024948,117.512263298035,115.564490795135,115.020081520081,113.266063690186,114.86980509758,115.829876422882,115.798924446106,117.151489973068,118.700525283813,114.178516387939,115.45685505867,114.167419433594,114.619610071182,113.394432783127,114.280789375305,113.001845121384,112.694051027298,114.561539173126,113.593962430954,112.780804395676,114.140049695969,114.846259117126,113.445513248444,,Svm Sans Z,115.616032347679,,Svm Sans Z,4.43662669189387
Svm Avec Z,2.80445408821106,2.83954834938049,2.84859752655029,2.96892189979553,2.9981427192688,2.74529695510864,2.78238892555237,2.82350492477417,2.81046485900879,2.78640675544739,3.13742566108704,3.21956610679626,2.80442333221436,2.79646253585815,2.80244994163513,2.766352891922,2.80144643783569,2.85655760765076,2.84452843666077,2.78330826759338,2.83149552345276,2.73724555969238,2.78440189361572,2.79442763328552,2.80441617965698,2.80545568466187,2.8144838809967,2.86963582038879,2.79041695594788,2.82453775405884,2.76538753509521,2.80846500396729,2.82550120353699,2.86561703681946,2.96488261222839,3.06915664672852,2.79442739486694,2.81745743751526,2.79042482376099,2.82651448249817,2.79643321037292,2.75030970573425,2.74730277061462,2.6901490688324,2.79643416404724,2.76036787033081,2.73827791213989,2.78040361404419,2.78440141677856,2.77938628196716,,Svm Avec Z,2.82856130599976,,Svm Avec Z,0.009661073215456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reussite\Iter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,Moyenne Performance,,,Variance Performance
NaiveBayes Sans Z,67.2544080604534,67.0025188916877,65.3022670025189,66.0579345088161,67.1284634760705,63.6020151133501,64.9874055415617,65.6171284634761,66.6876574307305,65.2392947103275,64.3576826196474,65.176322418136,65.9319899244333,66.1209068010076,64.2947103274559,65.2392947103275,64.4836272040302,65.8690176322418,67.0654911838791,65.176322418136,65.8690176322418,64.7984886649874,65.7430730478589,65.3022670025189,63.7909319899244,65.3022670025189,64.8614609571788,66.7506297229219,65.2392947103275,66.5617128463476,64.0428211586902,68.639798488665,65.3652392947103,66.5617128463476,66.3098236775819,66.5617128463476,66.1209068010076,66.3098236775819,65.2392947103275,66.0579345088161,67.1284634760705,65.4911838790932,66.3098236775819,63.6020151133501,66.8136020151133,65.2392947103275,64.2947103274559,65.4911838790932,65.7430730478589,65.6171284634761,,NaiveBayes Sans Z,65.6750629722922,,NaiveBayes Sans Z,1.0776215643958
NaiveBayes Avec Z,61.7758186397985,61.5239294710328,62.9093198992443,62.0906801007557,63.3501259445844,59.9496221662469,60.5793450881612,61.7758186397985,62.4685138539043,61.0201511335012,61.7128463476071,60.7052896725441,60.3274559193955,60.831234256927,61.5239294710328,59.823677581864,60.7052896725441,62.7833753148615,62.9093198992443,60.8942065491184,61.9017632241814,58.816120906801,61.272040302267,61.272040302267,60.6423173803526,61.6498740554156,61.5239294710328,62.8463476070529,60.9571788413098,62.3425692695214,59.6347607052897,62.5314861460957,62.6574307304786,62.6574307304786,62.3425692695214,61.8387909319899,61.6498740554156,63.0352644836272,62.0906801007557,62.3425692695214,61.9017632241814,61.3979848866499,61.9647355163728,59.3828715365239,61.7758186397985,60.5793450881612,60.4534005037783,60.6423173803526,61.4609571788413,60.3904282115869,,NaiveBayes Avec Z,61.4722921914358,,NaiveBayes Avec Z,1.05348051319456
Neural Sans Z,58.2493702770781,58.8790931989924,58.2493702770781,58.816120906801,58.1863979848867,55.7304785894207,59.1309823677582,59.1939546599496,59.7607052896725,57.3047858942065,57.5566750629723,59.8866498740554,60.7682619647355,59.4458438287154,56.1712846347607,56.1712846347607,58.3123425692695,58.7531486146096,59.5717884130982,56.9269521410579,58.1234256926952,56.9899244332494,58.9420654911839,59.4458438287154,57.6196473551637,57.1158690176322,57.808564231738,59.3198992443325,58.3123425692695,58.375314861461,56.6750629722922,60.1385390428212,55.8564231738035,59.823677581864,57.9345088161209,58.375314861461,59.5717884130982,59.7607052896725,57.8715365239295,57.8715365239295,58.6272040302267,59.5717884130982,57.4937027707809,61.2090680100756,58.9420654911839,58.4382871536524,57.2418136020151,58.9420654911839,57.4937027707809,58.7531486146096,,Neural Sans Z,58.3942065491184,,Neural Sans Z,1.49981237474655
Neural Avec Z,61.7758186397985,61.5239294710328,62.9093198992443,62.0906801007557,63.3501259445844,59.9496221662469,60.5793450881612,61.7758186397985,62.4685138539043,61.0201511335013,61.7128463476071,60.7052896725441,60.3274559193955,60.831234256927,61.5239294710328,59.823677581864,60.7052896725441,62.7833753148615,62.9093198992443,60.8942065491184,61.9017632241814,58.816120906801,61.272040302267,61.272040302267,60.6423173803526,61.6498740554156,61.5239294710328,62.8463476070529,60.9571788413098,62.3425692695214,59.6347607052897,62.5314861460957,62.6574307304786,62.6574307304786,62.3425692695214,61.8387909319899,61.6498740554156,63.0352644836272,62.0906801007557,62.3425692695214,61.9017632241814,61.3979848866499,61.9647355163728,59.3828715365239,61.7758186397985,60.5793450881612,60.4534005037783,60.6423173803526,61.4609571788413,60.3904282115869,,Neural Avec Z,61.4722921914358,,Neural Avec Z,1.05348051319456
Svm Sans Z,61.7758186397985,61.5239294710328,62.9093198992443,62.0906801007557,63.3501259445844,59.9496221662469,60.5793450881612,61.7758186397985,62.4685138539043,61.0201511335012,61.7128463476071,60.7052896725441,60.3274559193955,60.831234256927,61.5239294710328,59.823677581864,60.7052896725441,62.7833753148615,62.9093198992443,60.8942065491184,61.9017632241814,58.816120906801,61.272040302267,61.272040302267,60.6423173803526,61.6498740554156,61.5239294710328,62.8463476070529,60.9571788413098,62.3425692695214,59.6347607052897,62.5314861460957,62.6574307304786,62.6574307304786,62.3425692695214,61.8387909319899,61.6498740554156,63.0352644836272,62.0906801007557,62.3425692695214,61.9017632241814,61.3979848866499,61.9647355163728,59.3828715365239,61.7758186397985,60.5793450881612,60.4534005037783,60.6423173803526,61.4609571788413,60.3904282115869,,Svm Sans Z,61.4722921914358,,Svm Sans Z,1.05348051319456
Svm Avec Z,61.7758186397985,61.5239294710328,62.9093198992443,62.0906801007557,63.3501259445844,59.9496221662469,60.5793450881612,61.7758186397985,62.4685138539043,61.0201511335012,61.7128463476071,60.7052896725441,60.3274559193955,60.831234256927,61.5239294710328,59.823677581864,60.7052896725441,62.7833753148615,62.9093198992443,60.8942065491184,61.9017632241814,58.816120906801,61.272040302267,61.272040302267,60.6423173803526,61.6498740554156,61.5239294710328,62.8463476070529,60.9571788413098,62.3425692695214,59.6347607052897,62.5314861460957,62.6574307304786,62.6574307304786,62.3425692695214,61.8387909319899,61.6498740554156,63.0352644836272,62.0906801007557,62.3425692695214,61.9017632241814,61.3979848866499,61.9647355163728,59.3828715365239,61.7758186397985,60.5793450881612,60.4534005037783,60.6423173803526,61.4609571788413,60.3904282115869,,Svm Avec Z,61.4722921914358,,Svm Avec Z,1.05348051319456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reussite\Iter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,
NaiveBayes Sans Z,0.672544080604534,0.670025188916877,0.653022670025189,0.660579345088161,0.671284634760705,0.636020151133501,0.649874055415617,0.656171284634761,0.666876574307305,0.652392947103275,0.643576826196474,0.65176322418136,0.659319899244333,0.661209068010076,0.642947103274559,0.652392947103275,0.644836272040302,0.658690176322418,0.670654911838791,0.65176322418136,0.658690176322418,0.647984886649874,0.657430730478589,0.653022670025189,0.637909319899244,0.653022670025189,0.648614609571788,0.667506297229219,0.652392947103275,0.665617128463476,0.640428211586902,0.68639798488665,0.653652392947103,0.665617128463476,0.663098236775819,0.665617128463476,0.661209068010076,0.663098236775819,0.652392947103275,0.660579345088161,0.671284634760705,0.654911838790932,0.663098236775819,0.636020151133501,0.668136020151133,0.652392947103275,0.642947103274559,0.654911838790932,0.657430730478589,0.656171284634761,,,,,,
NaiveBayes Avec Z,0.617758186397985,0.615239294710327,0.629093198992443,0.620906801007557,0.633501259445844,0.599496221662468,0.605793450881612,0.617758186397985,0.624685138539043,0.610201511335012,0.617128463476071,0.607052896725441,0.603274559193955,0.608312342569269,0.615239294710327,0.59823677581864,0.607052896725441,0.627833753148615,0.629093198992443,0.608942065491184,0.619017632241814,0.58816120906801,0.61272040302267,0.61272040302267,0.606423173803526,0.616498740554156,0.615239294710327,0.628463476070529,0.609571788413098,0.623425692695214,0.596347607052897,0.625314861460957,0.626574307304786,0.626574307304786,0.623425692695214,0.618387909319899,0.616498740554156,0.630352644836272,0.620906801007557,0.623425692695214,0.619017632241814,0.613979848866499,0.619647355163728,0.593828715365239,0.617758186397985,0.605793450881612,0.604534005037783,0.606423173803526,0.614609571788413,0.603904282115869,,,,,,
Neural Sans Z,58.2493702770781,58.8790931989924,58.2493702770781,58.816120906801,58.1863979848867,55.7304785894207,59.1309823677582,59.1939546599496,59.7607052896725,57.3047858942065,57.5566750629723,59.8866498740554,60.7682619647355,59.4458438287154,56.1712846347607,56.1712846347607,58.3123425692695,58.7531486146096,59.5717884130982,56.9269521410579,58.1234256926952,56.9899244332494,58.9420654911839,59.4458438287154,57.6196473551637,57.1158690176322,57.808564231738,59.3198992443325,58.3123425692695,58.375314861461,56.6750629722922,60.1385390428212,55.8564231738035,59.823677581864,57.9345088161209,58.375314861461,59.5717884130982,59.7607052896725,57.8715365239295,57.8715365239295,58.6272040302267,59.5717884130982,57.4937027707809,61.2090680100756,58.9420654911839,58.4382871536524,57.2418136020151,58.9420654911839,57.4937027707809,58.7531486146096,,,,,,
Neural Avec Z,61.7758186397985,61.5239294710328,62.9093198992443,62.0906801007557,63.3501259445844,59.9496221662469,60.5793450881612,61.7758186397985,62.4685138539043,61.0201511335013,61.7128463476071,60.7052896725441,60.3274559193955,60.831234256927,61.5239294710328,59.823677581864,60.7052896725441,62.7833753148615,62.9093198992443,60.8942065491184,61.9017632241814,58.816120906801,61.272040302267,61.272040302267,60.6423173803526,61.6498740554156,61.5239294710328,62.8463476070529,60.9571788413098,62.3425692695214,59.6347607052897,62.5314861460957,62.6574307304786,62.6574307304786,62.3425692695214,61.8387909319899,61.6498740554156,63.0352644836272,62.0906801007557,62.3425692695214,61.9017632241814,61.3979848866499,61.9647355163728,59.3828715365239,61.7758186397985,60.5793450881612,60.4534005037783,60.6423173803526,61.4609571788413,60.3904282115869,,,,,,
Svm Sans Z,0.617758186397985,0.615239294710327,0.629093198992443,0.620906801007557,0.633501259445844,0.599496221662468,0.605793450881612,0.617758186397985,0.624685138539043,0.610201511335012,0.617128463476071,0.607052896725441,0.603274559193955,0.608312342569269,0.615239294710327,0.59823677581864,0.607052896725441,0.627833753148615,0.629093198992443,0.608942065491184,0.619017632241814,0.58816120906801,0.61272040302267,0.61272040302267,0.606423173803526,0.616498740554156,0.615239294710327,0.628463476070529,0.609571788413098,0.623425692695214,0.596347607052897,0.625314861460957,0.626574307304786,0.626574307304786,0.623425692695214,0.618387909319899,0.616498740554156,0.630352644836272,0.620906801007557,0.623425692695214,0.619017632241814,0.613979848866499,0.619647355163728,0.593828715365239,0.617758186397985,0.605793450881612,0.604534005037783,0.606423173803526,0.614609571788413,0.603904282115869,,,,,,
Svm Avec Z,0.617758186397985,0.615239294710327,0.629093198992443,0.620906801007557,0.633501259445844,0.599496221662468,0.605793450881612,0.617758186397985,0.624685138539043,0.610201511335012,0.617128463476071,0.607052896725441,0.603274559193955,0.608312342569269,0.615239294710327,0.59823677581864,0.607052896725441,0.627833753148615,0.629093198992443,0.608942065491184,0.619017632241814,0.58816120906801,0.61272040302267,0.61272040302267,0.606423173803526,0.616498740554156,0.615239294710327,0.628463476070529,0.609571788413098,0.623425692695214,0.596347607052897,0.625314861460957,0.626574307304786,0.626574307304786,0.623425692695214,0.618387909319899,0.616498740554156,0.630352644836272,0.620906801007557,0.623425692695214,0.619017632241814,0.613979848866499,0.619647355163728,0.593828715365239,0.617758186397985,0.605793450881612,0.604534005037783,0.606423173803526,0.614609571788413,0.603904282115869,,,,,,
